2025-01-27 20:50:17 | Event ID: 5152 | Source IP: 192.168.1.100 | Destination Port: 443 | Action: BLOCKED
2025-01-27 20:50:17 | Event ID: 5152 | Source IP: 192.168.1.102 | Destination Port: 22 | Action: BLOCKED
2025-01-27 20:50:17 | Event ID: 5152 | Source IP: 192.168.1.100 | Destination Port: 443 | Action: BLOCKED
2025-01-27 20:50:17 | Event ID: 5152 | Source IP: 192.168.1.100 | Destination Port: 445 | Action: BLOCKED
2025-01-27 20:50:17 | Event ID: 5152 | Source IP: 192.168.1.100 | Destination Port: 135 | Action: BLOCKED
2025-01-27 20:50:17 | Event ID: 5152 | Source IP: 192.168.1.102 | Destination Port: 22 | Action: ALLOWED
2025-01-27 20:50:17 | Event ID: 5152 | Source IP: 192.168.1.100 | Destination Port: 3389 | Action: BLOCKED
2025-01-27 20:50:17 | Event ID: 5152 | Source IP: 192.168.1.100 | Destination Port: 3389 | Action: ALLOWED
2025-01-27 20:50:17 | Event ID: 5152 | Source IP: 192.168.1.102 | Destination Port: 443 | Action: ALLOWED
2025-01-27 20:50:17 | Event ID: 5152 | Source IP: 203.0.113.45 | Destination Port: 443 | Action: ALLOWED
2025-01-27 20:50:17 | Event ID: 5152 | Source IP: 192.168.1.101 | Destination Port: 3389 | Action: BLOCKED
2025-01-27 20:50:17 | Event ID: 5152 | Source IP: 192.168.1.100 | Destination Port: 22 | Action: ALLOWED
2025-01-27 20:50:17 | Event ID: 5152 | Source IP: 192.168.1.100 | Destination Port: 443 | Action: ALLOWED
2025-01-27 20:50:17 | Event ID: 5152 | Source IP: 192.168.1.102 | Destination Port: 22 | Action: BLOCKED
2025-01-27 20:50:17 | Event ID: 5152 | Source IP: 192.168.1.101 | Destination Port: 135 | Action: ALLOWED
2025-01-27 20:50:17 | Event ID: 5152 | Source IP: 192.168.1.102 | Destination Port: 80 | Action: BLOCKED
2025-01-27 20:50:17 | Event ID: 5152 | Source IP: 192.168.1.101 | Destination Port: 22 | Action: BLOCKED
2025-01-27 20:50:17 | Event ID: 5152 | Source IP: 192.168.1.102 | Destination Port: 3389 | Action: BLOCKED
2025-01-27 20:50:17 | Event ID: 5152 | Source IP: 192.168.1.100 | Destination Port: 443 | Action: ALLOWED
2025-01-27 20:50:17 | Event ID: 5152 | Source IP: 192.168.1.102 | Destination Port: 445 | Action: BLOCKED
2025-01-27 20:50:17 | Event ID: 5152 | Source IP: 192.168.1.100 | Destination Port: 445 | Action: BLOCKED
2025-01-27 20:50:17 | Event ID: 5152 | Source IP: 192.168.1.100 | Destination Port: 3389 | Action: ALLOWED
2025-01-27 20:50:17 | Event ID: 5152 | Source IP: 192.168.1.101 | Destination Port: 135 | Action: ALLOWED
2025-01-27 20:50:17 | Event ID: 5152 | Source IP: 192.168.1.101 | Destination Port: 22 | Action: ALLOWED
2025-01-27 20:50:17 | Event ID: 5152 | Source IP: 192.168.1.100 | Destination Port: 22 | Action: ALLOWED
2025-01-27 20:50:17 | Event ID: 5152 | Source IP: 192.168.1.100 | Destination Port: 443 | Action: ALLOWED
2025-01-27 20:50:17 | Event ID: 5152 | Source IP: 192.168.1.100 | Destination Port: 22 | Action: BLOCKED
2025-01-27 20:50:17 | Event ID: 5152 | Source IP: 192.168.1.102 | Destination Port: 445 | Action: BLOCKED
